"概要","説明","開催期間","開催地","目的","エリア","詳細URL"
"奥之院萬燈会","奥之院・燈籠堂にてローソクの灯が美しい万燈万華の世界を作り、法要が営まれます。","10月1日（土）～3日（月）","奥之院燈籠堂","観る","高野町","https://www.wakayama-kanko.or.jp/event/detail.php?id=10987"
"キャンドルイルミネーション2016","夜の白良浜を幻想的に浮かび上がらせる幸せの火。希望者は作業体験もできます。","10月1日（土）、8日（土）、15（土）、22(土)","白良浜","観る / 遊び・体験","白浜町","https://www.wakayama-kanko.or.jp/event/detail.php?id=10991"
"有田川町内 各地で「秋祭り」開催","町内各地区の神社で行われる伝統秋祭り。各地区伝統の山車や獅子舞などが秋の豊作を祝います。","10月中","有田川町内各地","遊び・体験","有田川町","https://www.wakayama-kanko.or.jp/event/detail.php?id=10990"
"有田市市制60周年記念特別展小説「有田川」の世界","有田市市制60周年記念の特別展として、小説『有田川』の舞台となった市内各名所にスポットを当て、有田市の歴史・文化、近代有田の歩みを紹介します。","10月1日（土）～11月27日（日）休館日：毎週火曜日","有田市郷土資料館","観る","有田市","https://www.wakayama-kanko.or.jp/event/detail.php?id=10989"
"みかん狩り","食べ放題入園料：中学生以上700円　幼稚園児・小学生500円　宅配もOK！＊要予約（持ち帰り別料金）","10月1日（土）～12月15日（木）","かつらぎ町各所","遊び・体験 / 食べる","かつらぎ町","https://www.wakayama-kanko.or.jp/event/detail.php?id=10988"
"プレーパーク","森の中でプレーリーらと一緒にターザンごっこやクラフトなどをして遊びましょう","10月2日（日）","和歌山県森林公園根来山げんきの森","","岩出市","https://www.wakayama-kanko.or.jp/event/detail.php?id=10993"
"歩いて体感世界遺産！！三谷坂・町石道ウォーク","世界遺産追加登録を願って行うウォークイベント。高野山麓の文化的景観といにしえの道を体感します。","10月2日（日）","集合場所：かつらぎ公園グラウンドコース：丹生酒殿神社～三谷坂～丹生都比売神社～六…","世界遺産 / 遊び・体験","かつらぎ町","https://www.wakayama-kanko.or.jp/event/detail.php?id=10994"
"第27回元気ゆら！ふるさとフェスティバル","「今が旬！食べて納得、由良の味」をテーマに、由良町の優れた観光資源と産品を広くPRし、町内における交流人口の増加を図るため、ゆら早生みかんや伊勢海老といった旬の…","10月2日（日）","由良町大引地内（白崎海洋公園）","食べる / お土産・逸品","由良町","https://www.wakayama-kanko.or.jp/event/detail.php?id=10995"
"オーシャンビューサイクルフェスタ～ふれあい自転車まつり","2歳から5歳くらいまでの幼児を対象とした自転車「ストライダー」の試乗会やミニレースを開催します。","10月2日（日）","由良町大引地内（白崎海洋公園）","遊び・体験","由良町","https://www.wakayama-kanko.or.jp/event/detail.php?id=10996"
"印南祭り","紀南トップを飾る秋祭り、４台の屋台と御神輿が印南川に飛び込む「御渡り」があります。","10月2日（日）","印南漁港","遊び・体験","印南町","https://www.wakayama-kanko.or.jp/event/detail.php?id=10998"
"紀州・山東　案山子めぐり","今年も楽しい案山子（かかし）の作品が四季の郷公周辺の田んぼや畑に約1カ月展示されます。審査の うえ 優秀な作品が表彰されます 。※出展の申込みは10月1日（土）…","10月2日（日）～11月5日（土）","四季の郷公園周辺","観る","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11000"
"海南サンデーマーケット","フリマのようでフリマでない。食べ物、楽器、古着、エステ、ネイル、歌、一芸、絵、本。あなたにあるもの何でも売りましょう！それが個性で、それが集まってマーケットです…","10月2日（日）、11月6日（日）、12月4日（日）","温山荘公園","食べる / 遊び・体験","海南市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11001"
"甘酒祭","淡嶋神社の秋の大祭では、祭神の少彦名命が酒造の祖神であることから、神殿に感謝を込めて新米で作られた甘酒が供えられます。参拝客には無病息災冬越しの甘酒が無料授与さ…","10月3日（月）","淡嶋神社","観る","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11002"
"御坊祭","日高地方最大のお祭りで、昔から「人を見たけりゃ御坊まつり」と謳われたほど大勢の見物客を集めます。また和歌山県無形文化財第1号・国選択民俗芸能である「けほん踊り」…","10月4日(火)、5日(水)","小竹八幡神社周辺","観る","御坊市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11003"
"金剛峯寺特別夜間拝観＆ライトアップ","金剛峯寺内の貴賓室「奥殿」を囲む日本最大級の石庭「蟠龍庭 」がライトアップされ、特別夜間拝観が実施されます。","10月7日（金）、9日（日）、14日（金）、15日（土）、21日（金）、22日（土）、28日（金）、29日（土）11月2日（水）～5日（土）","金剛峯寺","世界遺産 / 観る","高野町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11004"
"飛鳥神社秋期例大祭","宵宮まつりでは、神降ろしの神事の後、きれいに化粧をした子供達【男子は藁で鉢巻きをして掛けの魚（かけのうお）を持ち、女子は栗の入った袋を頭にいただく】が、町内を巡…","10月8日（土）","飛鳥神社・水産協同組合・町内","観る","太地町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11005"
"第68回わかやま商工まつり","和歌山商工会議所が、地場産業の優れた技術を活かした製品の展示や体験・情報コーナー、特産物の販売等を行います。","10月8日（土）、9日（日）","和歌山ビッグホエール","食べる / お土産・逸品","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11006"
"古典植物と山野草展","風蘭、ノキシノブ他、古典植物と山野草を約180鉢展示。（即売も有り）","10月8日（土）、9日（日）","和歌山県植物公園緑花センター","","岩出市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11007"
"隅田八幡神社秋祭り(だんじり）","和歌山県指定無形民俗文化財に指定されている祭りで、プレミヤ和歌山に認定されています。約100人で担ぐだんじりは勇ましく見ごたえたっぷりです。","10月8日（土）宵宮、9日（日）本宮","隅田八幡神社","観る","橋本市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11010"
"相賀大神社秋祭り相賀八幡神社秋祭り","五穀豊穣を喜ぶ笛や太鼓の祭り囃子が流れ、山車や神輿が街中を練り歩き、威勢のよいかけ声が響き渡ります。","10月8日（土）宵宮、9日（日）本宮","相賀大神社相賀八幡神社","観る","橋本市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11011"
"紀伊ジョウロウホトトギス祭り","佐本地区の山間に、貴婦人のように上品な花を咲かせる「紀伊ジョウロウホトトギス」のお祭り。展示販売もあります。例年、見ごろは10月中旬頃までの見込です。","10月8日（土）、9日（日）","すさみ町佐本地区","観る / お土産・逸品","すさみ町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11012"
"秋の小品盆栽展","松、真柏、雑木（かえで、もみじ）実生物その他約100鉢を展示。大きさは10～20cm。小さな鉢の中で豪快さや可愛さ、自然を楽しめます。（即売も有り）","10月8日（土）～10日（祝・月）","和歌山県植物公園緑花センター","","岩出市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11008"
"秋期企画展「真田丸」の世界と高野山","高野山に伝わる真田家や同時代の戦国大名ゆかりの品を展示。","10月8日（土）～1月15日（日）","高野山霊宝館","観る","高野町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11009"
"ポポロハスマーケット","“ポポロハスマーケット”は“てづくり”と“ロハス”をテーマにしたマルシェイベントです。「てづくり」や「ロハス」にこだわった商品及び地産地消の野菜、食品等が出展さ…","10月9日（日）","ぶらくり丁商店街","観る / お土産・逸品","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11013"
"第18回和歌の浦　万葉薪能","今年の薪能は、もの覚えの悪い田舎大名が萩見物に出かける狂言と、美しい女性に恋をしてしまった老人の姿を描いた能です。第一部　能楽ワークショップ（能・太鼓）の発表第…","10月9日（日）","片男波公園野外ステージ（雨天時の会場は｢健康館アリーナ」）","観る / 遊び・体験","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11014"
"スターライトイリュージョン2016","和歌山マリーナシティの名物、音楽と花火のコラボレーションイベント！エキサイティングな音楽やリズムに合わせて打ち上がる大型の打上げ花火と、テンポの良い特殊効果花火…","10月9日（日）","和歌山マリーナシティ（西側防波堤）","観る","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11015"
"泣き相撲","江戸中期から行われている行事「奉納花相撲」。生後４か月～３歳の赤ちゃんや幼児に土俵で無理矢理相撲をとらせることで子供が泣くことから「泣き相撲」といわれています。","10月9日（日）","山路王子神社(一壺王子)","観る","海南市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11016"
"みかんまつり","お菓子の神様（菓祖）とされる「田道間守」を祀り、みかんが日本で初めて植えられたといわれる海南市下津町橘本の橘本神社で行われる祭りです。みかんの豊作と商売繁盛を願…","10月9日（日）","橘本神社","観る","海南市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11017"
"熊野古道わくわくハイク（熊野古道＆紀州南高梅で仕込む梅シロップづくり体験コース）","語り部と一緒に歩くハイキングイベント。今回は、熊野古道と合わせて、蔵元の多い海南市ならではの体験として、酒蔵見学と梅シロップづくり体験をたのしむことができます。","10月9日（日）","熊野古道（紀伊路）JR海南駅～散策～JR海南駅","遊び・体験 / 観る","海南市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11018"
"10月の寄せ植え教室","季節の花木をアレンジ。寄せ植えを作りながらアレンジのコツや管理方法を学びます。","10月9日（日）","和歌山県植物公園緑花センター","","岩出市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11019"
"和歌山の木で作ろう（木工）","和歌山の木限定！製材や自然木を使った、ちょっと本格的な木工クラフト体験です。","10月9日（日）","和歌山県植物公園緑花センター","","岩出市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11020"
"高野口秋祭り「歩行者天国」","JR高野口駅前大通りにて開催されるイベントです。露店やフリーマーケット、地元団体によるステージイベントなど楽しい催し物がいっぱいです。","10月9日（日）","高野口駅前大通り","観る / 遊び・体験","橋本市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11021"
"衣奈祭本祭","祭そのものが、県指定無形民俗文化財になっている衣奈八幡神社の秋祭りです。荒々しい神事や余興が多いといわれる漁村には珍しく、巫女舞など上品で優雅なものが多い祭りと…","10月9日(日)","由良町衣奈地内","観る","由良町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11023"
"笑い祭","出雲で開かれる神様の集まりに遅れたことで塞ぎ込んだ氏神さまを笑いをもって元気づけようとしたこっけいな笑いまつり。毎年多くの観光客と、それにも勝る笑い声がこだまし…","10月9日(日)","丹生神社","観る / 観る","日高川町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11026"
"紀道祭","駆け馬＜カケウマ＞と趣向をこらした山車がある。この山車は、地元の若者が作成するので、毎年違うものが出来上がる。","10月9日(日)","紀道神社","観る / 観る","日高川町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11027"
"長子祭","毎年体育の日の直前の日曜日に行われる。メインは「鬼の追い出し」と「お旅所と帰りの馬場での獅子と鬼との舞」","10月9日(日)","長子八幡神社","観る / 観る","日高川町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11028"
"下阿田木祭","地元の小、中学生などの奉納相撲が行われます。","10月9日(日)","下阿田木神社","観る / 観る","日高川町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11029"
"芳養大神社例祭","芳養王子跡に立つ大神社では、5才～7才の子供を着飾り、額に大小と書き、各字ごとののぼりを先頭にお渡りをする「美女万歳」が奉納されます。付き添い者は一つのツルにな…","10月9日(日)","芳養大神社","観る","田辺市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11030"
"ぼたん荘の朝市","毎月第2日曜日に開催。野菜、漬物、田舎寿司、手作りお菓子、もち、干しシイタケ、干物など、山の幸から海の幸まで近隣から旬のものが並びます。","10月9日(日)","南紀月の瀬温泉ぼたん荘","お土産・逸品 / 食べる","古座川町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11031"
"新宮秋祭り","9日にはエネルギッシュな創作踊り。15日には「手踊り・子供みこし」が市内を賑わし、速玉大社境内では「公開披露」、夜には「お祭り新宮節」の踊りが始まり、参加団体に…","10月9日（日）、15日(土）","市内中央通り他","遊び・体験","新宮市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11032"
"海南軽トラ市","毎月第２日曜日、地元産の新鮮な野菜や果物から、農産物の加工品や話題のスイーツまで、生産者自らが軽トラックなどの荷台で販売を行います。","毎月第2日曜日（10/9，11/13）","JR海南駅前西側広場","お土産・逸品","海南市","https://www.wakayama-kanko.or.jp/event/detail.php?id=10954"
"旧中筋家住宅　高積神社の獅子舞","旧中筋家住宅は、江戸時代の大庄屋の屋敷で、国の重要文化財に指定されています。東にそびえる高積山の麓にある高積神社の秋祭り（例大祭）に合わせて、旧中筋家の前庭で、…","10月10日(祝・月)予定","旧中筋家住宅","観る","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11033"
"将星真田幸村花火大会","真田幸村が大坂城へ入城したと言われる日にあわせ、大坂の陣に向け九度山を出陣した幸村へのエールとなる花火6，666発を打ち上げます。","10月10日(祝・月)","道の駅「柿の郷くどやま」芝生広場","観る","九度山町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11034"
"えびすのお渡り","恵比寿様が24名のお供を従えて舞楽を奉じて神殿に渡る神事。村の長老が鯛をかつぎ、恵比寿面と白髪、冠をつけ、神前で円形となって恵比寿飛びを3回行います。","10月10日(祝・月)","古沢厳島神社","観る","九度山町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11035"
"須佐神社の千田祭り","須佐神社の御祭神は須佐之男命で、古くから海上安全、漁業の神として崇拝されており、漁の少ないときに祈願すれば、豊漁になると信じられています。毎年10/14に行われ…","10月14日（金)","須佐神社","遊び・体験","有田市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11037"
"緑風盆栽会・盆栽展","様々な実物や紅葉した雑木類を中心に、約20鉢を展示。（即売も有り）","10月14日（金）～16日（日）","和歌山県植物公園緑花センター","","岩出市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11039"
"万葉日本画展","万葉集に因んだ日本画の作品を展示します。","10月14日（金）～1月9日（月）","片男波公園万葉館","観る","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11038"
"わぁーと！手づくり市場 JR和歌山駅前","オリジナル雑貨やこだわりの手づくり品、アート作品など、毎回たくさんのハンドメイドショップが集結し、休日の和歌山駅前を楽しい空間に演出しています。出店者も常時募集…","10月15日（土））※毎月第3土曜日開催　荒天中止","ＪＲ和歌山駅前けやき大通り歩道","観る / お土産・逸品","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11040"
"伊太祁曽神社例祭","稲の収穫の季節に、常日頃の神恩に感謝するお祭りです。10時からの例祭に引き続き子供神輿がでて、一の鳥居までを往復します。また、例祭後の最初の日曜日に神幸祭（神輿…","10月15日（土）","伊太祁曽神社","観る","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11041"
"旧中筋家住宅月夜の箏－古民家で聴く箏の音色－","旧中筋家住宅は、江戸時代後期の大庄屋の屋敷で、国の重要文化財に指定されています。今回は、主屋の大広間にて日本の古典芸能である箏の演奏会（田口真澄先生）を開催しま…","10月15日（土）","旧中筋家住宅","観る","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11042"
"第14回稲むらの火祭り","安政元年（1854）の大地震の折、大津波が広村（現広川町）を襲いました。その時村人を助けるために稲むらに火を放ち、安全な場所に避難させ村人を救った濱口梧陵翁の功…","10月15日(土)(雨天の場合は翌日に順延)","広川町役場～広八幡神社","遊び・体験","広川町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11043"
"箕島漁港とれピチ朝市","辰ヶ浜産をはじめ市内漁港で水揚げされた魚がてんこもり！漁師が自ら安くて新鮮な魚を販売します。威勢の良い漁師とのやりとりも魅力のひとつ。","10月15日（土）","箕島漁港","お土産・逸品","有田市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11044"
"木ノ本の獅子舞","神に対する祈りと感謝の心をこめて行われる神事芸能で、和歌山県の無形民族文化財に指定されています。地上約5mで行われるだんじり上の舞は、舞台である青竹の上を一体の…","10月15日（土）、16日（日）","木本八幡宮","観る","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11045"
"山草会・秋の展示会","ホトトギス、キイジョウロウ、シャジン、ダイモンジソウ、ツワブキ、カンアオイ、シダ類等、約150鉢を展示。（即売も有り）","10月15日(土)、16日(日)","和歌山県植物公園緑花センター","","岩出市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11046"
"ボタニカルアート教室","花の肖像画、ボタニカルアートの描き方を、秋の草花を題材に、奥野小夜子先生の楽しい指導で学んでいただきます。","10月15日(土)、16日(日)","和歌山県植物公園緑花センター","","岩出市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11047"
"第19回有田川町どんどんまつり","10/15（土）は、きび体育館・きびドームでの文化祭。10/16（日）は、花の里河川公園をメイン会場にキャラクターショーやダンスDONG2等。19:00からは花…","10月15日(土)、16日(日)","花の里河川公園ほか","遊び・体験 / 食べる","有田川町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11048"
"熊野速玉大社例大祭","15日には神馬渡御式、御旅所神事が行われ、16日の御船祭りは、神霊が御輿・神幸船で御旅所へ渡御する古儀の祭礼です。熊野川において9隻の早船による競漕が繰り広げら…","10月15日(土）、16日（日）","熊野速玉大社・阿須賀神社・熊野川","世界遺産","新宮市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11051"
"いせえび博物館","イセエビの水槽展示・イセエビ漁の歴史・イセエビのうんちくについての資料展示他","10月15日（土）～2月28日（火）","JR周参見駅すさみ町民コミュニティープラザ","観る / 遊び・体験","すさみ町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11049"
"イセエビ味覚まつり","観光協会加盟店・宿泊施設において、すさみの荒磯で育った絶品のイセエビをご賞味ください。","10月15日（土）～2月28日（火）","すさみ町内観光協会加盟店・宿泊施設","食べる / お土産・逸品","すさみ町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11050"
"神幸祭","例祭を15日に終えて、最初の日曜日に神輿渡御が斎行されます。正午に神社を出発し、3km北の奥宮（丹生神社）に行き、帰りは四季の郷公園経由で戻ります。神輿３基、女…","10月16日（日）","伊太祁曽神社","観る","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11052"
"野上八幡宮秋祭","獅子舞は、五穀豊穣を祈念し、渡御祭りの先頭で神輿の通る道々をお祓いする役目のものです。歴史詳細は不明ですが、かなり古くから行われていて、その証として元禄時代に描…","10月16日（日）","野上八幡神社","観る","紀美野町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11053"
"例祭","最も荘厳な秋の大祭。大祭の日には、ご本殿の扉が開かれます。※13時～雅楽演奏、15時30分～餅まき有","10月16日（日）","丹生都比売神社","観る / 世界遺産","かつらぎ町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11054"
"隅田門前市","地元でとれた新鮮な農産物の販売やフリーマーケットが開催されます。地元団体によるステージイベントやミニ電車を走らせ門前市を盛上げます。","10月16日（日）","隅田商店街","観る / 遊び・体験","橋本市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11055"
"塩屋祭(美人祭)","神前で美人祭の神子舞いと、鮮やかな赤獅子のお立ち舞いを奉納します。お旅所では、神事と神子舞いが終わった後、和やかな宴が広がり、３頭の獅子舞も行われます。","10月16日(日)","塩屋王子神社","観る","御坊市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11056"
"熊野祭","もと、「申酉祭」といい、霜月に申と酉の日に執行され、昔は郡内随一の大祭といわれていました。当日は獅子舞、四つ太鼓などが執り行われます。","10月16日(日)","熊野神社","観る","御坊市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11057"
"わかやま由良海釣り大会","由良町は、紀伊水道に面した絶好のフィッシングスポットです。磯釣り、船釣り、筏釣りなど様々な海釣りが楽しめます。大会は、町内各渡船店からどなたでも参加できます。4…","10月16日(日)","由良町内","遊び・体験","由良町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11058"
"鹿島神社の秋祭り","「埴田の神輿」、獅子舞 、町無形文化財に指定されている「南道の奴行列」(3年に1度参加) や、「芝崎のふとん太鼓」(随時参加)などが祭礼に参加し、大勢の見学人た…","10月16日(日)","鹿島神社","観る","みなべ町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11059"
"土生祭","笛や太鼓の楽曲なしで雌雄の鬼の持つ矛（ほこ）と簓（ささら）の発する気配のみで踊る『双頭の踊り獅子』があります。","10月16日(日)","土生八幡神社","観る / 観る","日高川町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11060"
"コスモス園花まつり","約1ヘクタールに咲き誇るコスモス園を会場に、地元の子どもたちの演芸発表や地元特産品を販売します。","10月16日(日)","市ノ瀬小山河川敷","観る / お土産・逸品","上富田町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11061"
"第22回ＳＳＦＴオフショアトーナメント","各部門に分かれてルアーフィッシングで重さを競います。毎年、さまざまな種類の大物魚が釣り上げられます。","10月16日(日)※荒天の場合10月30日（日）に延期","すさみ町近海","遊び・体験","すさみ町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11062"
"ふれあい市場（朝市）","地域の交流促進を目的として開催される朝市です。地元産品とともに、古座のおじいちゃんおばあちゃんとのふれあいも楽しんでください。","10月16日（日）","JR古座駅前広場","観る","串本町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11063"
"ラブ太平洋串本エギング大会","串本町内でイカ釣りに挑戦！栄冠は誰の手に？一般部門、女性部門、中学生以下の部門。1年中がシーズンの串本へ、是非お越しください。","10月16日（日）","串本町内","遊び・体験","串本町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11064"
"熊野三所神社例大祭","白浜温泉街に伝わる由緒あるお祭り。氏子による白幣の渡御行列は有名です。","10月16日（日）、17日（月）","熊野三所神社","観る","白浜町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11066"
"マルシェ・森岡（森岡地区農産物直売所）","小さな販売所ですが、森岡区民が心を込めて栽培した、新鮮で安心、安全な農作物を用意していますので、是非ご来店ください。","10月16日（日）11月13日（日）（変更の場合あり）","御坊市塩屋町南塩屋森岡地区","お土産・逸品 / 食べる","御坊市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11065"
"第60回　菊花展","和歌山城表坂登り口広場周辺で、菊約350鉢が展示されます。これらは、「和歌山菊の会」が丹精込めて育てたもので、華やいだ雰囲気の中、毎年多くの観光客や公園を散歩す…","10月18日（火）～11月13日（日）","和歌山城表坂登り口前広場","観る","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11068"
"心の癒し・お逮夜ナイトウォーク","お大師様が入定された旧暦3月21日にちなみ、毎月20日の夜に、奥之院を参拝し、夜ならではの風情を感じていただけます。","10月20日（木）","奥之院","遊び・体験 / 観る","高野町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11069"
"柿狩り（甘柿）","入場料：中学生以上700円、幼稚園児・小学生500円　宅配もOK！持ち帰りは別料金＊要予約","10月20日（木）～12月5日（月）","かつらぎ町内各所","遊び・体験 / 食べる","かつらぎ町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11070"
"報恩高野市","高野山でかつて街中に「高野市」という市が催され非常に賑わったといわれており、それにならい高野町の美味しい食べ物販売、高野町ならではの出展作品など、魅力的なイベン…","10月21日（金）","金剛峯寺前駐車場内","遊び・体験","高野町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11071"
"第3回 郷土食カフェ","那賀地方の伝統的な食文化にふれてもらうイベント。","10月22日（土）","和歌山県植物公園緑花センター","","岩出市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11072"
"ライトアップの夕べ","東京スカイツリーの照明デザイナー戸恒氏により、女神の社「丹生都比売神社」が美しく照らされます。","10月22日（土）","丹生都比売神社","観る / 世界遺産","かつらぎ町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11073"
"印南町　「日高地方軽トラ市」第２弾！","今回は、日高広域としての軽トラ市なので印南町外からもたくさん出店される予定です。","10月22日（土）","印南漁港","遊び・体験","印南町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11074"
"和歌山城市民茶会","岡公園茶室にて本格的なお茶が楽しめます。普段お茶に馴染みのない人も、持ち物、作法の知識は不要なので気軽に普段着のまま参加することができます。関連イベントとして小…","10月22日（土）、23日（日）※荒天中止","岡公園茶室（夜雨荘、芦鶴庵、岡陽軒）※夜雨荘は見学のみ","遊び・体験","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11076"
