"概要","説明","開催期間","開催地","目的","エリア","詳細URL"
"福和盆栽銘風展","松、五葉松、杜松、梅、長寿梅、真柏、かりん、まゆみ、もみじ、かえで、ちりめんかずら等、約25鉢を展示。（即売も有り）盆栽は時間・空間と山水の景を表現し、自然にあ…","11月2日（土）～4日（振休・月）","和歌山県植物公園緑花センター","観る / お土産・逸品","岩出市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18322"
"水彩風景画展","山、渓谷、木々、河川、森などの景観を水彩絵の具で描いた作品の展示会です。","11月2日（土）～4日（振休・月）","和歌山県植物公園緑花センター","観る / 観る","岩出市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18323"
"加太の昼市","プレミア和歌山認定の「加太のマダイ」が水揚げされる加太港。生簀で泳ぐ魚を必要に応じてその場でさばいてくれます。加太の豊富な海の幸を鮮度・味ともに最高の状態で持ち…","11月2日(祝・土）、12月7日（土）※毎月第1土曜日開催（1月開催なし）、11/2は加太の紅葉鯛祭りと同時開催","加太大波止近く","食べる / お土産・逸品","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18316"
"和歌浦漁港　おっとっと広場","和歌浦湾で獲れる「わかしらす」など新鮮な魚介類や水産加工品を直販価格で販売する販売ブースがあります。","通年（毎週土・日・祝）","和歌浦漁港おっとっと広場","食べる / お土産・逸品","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18447"
"雑賀崎漁港　船からの直接販売","和歌山市南西部に位置する底引き網漁が盛んな雑賀崎漁港。獲れたての魚介類が船上から直接販売されます。","通年（火・土・祝前日休み）※それ以外も中止の場合あり（要問合せ）","雑賀崎漁港","お土産・逸品","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18448"
"JR和歌山駅周辺イルミネーション","JR和歌山駅周辺にイルミネーションが施され、まちなかが幻想的な輝きに包まれます。イルミネーションで彩られた、普段の夜とは違うまちなみの素敵な雰囲気を味わってくだ…","11月2日（土）～3月1日（日）予定","JR和歌山駅周辺","観る","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18314"
"フェスタ・ルーチェ ""Festa Luce""?　和歌山マリーナシティ　　　　　　 ?本当のクリスマスに出逢える場所?","本当のクリスマスに出逢える場所「フェスタ・ルーチェ」in 和歌山マリーナシティ2019開催決定 2019年11月2日から2019年3月1日までの88日間!!昨年…","11月2日（土）～3月1日（日）","和歌山マリーナシティ","観る","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18315"
"フェスタ・ルーチェ ""Festa Luce"" ?本当のクリスマスに出逢える場所?","本当のクリスマスに出逢える場所「フェスタ・ルーチェ」in 和歌山マリーナシティ2019開催決定 2019年11月2日から2019年3月1日までの88日間!!昨年…","～3月1日（日）","和歌山マリーナシティ","観る","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18454"
"JR和歌山駅前イルミネーション","JR和歌山駅わかちか広場・和歌山駅前商店街およびけやき大通りを約10万球のイルミネーションで装飾します。","～3月1日（日）","JR和歌山駅前～和歌山駅前通商店街","観る","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18455"
"第27回和歌浦漁港朝市しらすまつり（おっとっと広場）","春と秋の年2回開催される「和歌浦漁港朝市」。目玉は鮮魚販売。地元でとれた新鮮な魚介類を求めて長蛇の列を作ります。また、この季節の和歌浦湾の特産「わかしらす」は絶…","11月3日（祝・日）","和歌浦漁港駐車場","観る / 食べる","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18328"
"旧中筋家住宅茶室へのお誘い","旧中筋家住宅は、江戸時代後期の大庄屋の屋敷で、国の重要文化財に指定されています。今回は、主屋の北側にあるお茶室において、表千家青年部の方々のご協力で、お茶とお菓…","11月3日（祝・日）","旧中筋家住宅","観る / 遊び・体験","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18329"
"プレーパーク","プレーリーダーと一緒に森の中で思い切り体を動かしましょう。","11月3日（祝・日）","和歌山県立森林公園根来山げんきの森","遊び・体験 / 観る","岩出市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18330"
"第19回有田ふるさとうまいもんまつり","今年で19回目を迎える有田市のまちづくりイベント。フリーマーケットやダンス、音楽など、家族で楽しめるイベントが満載。有田郡市の特産品を使った料理コンテストも開催…","11月3日（祝・日）","有田市民会館周辺","食べる / 遊び・体験","有田市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18331"
"宝神社祭","2005年から祭りが復活し「豊栄舞」「豊年牛踊り」「七福神踊り」「子ども御輿」を奉納します。宝神社は名前のとおり、財宝、金運守護の神社です。宝くじシーズンには、…","11月3日（祝・日）","宝神社","","御坊市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18332"
"ゆらふれあい祭","ステージイベントやミニ商店街の出店など※詳細未定","11月3日（祝・日）","由良町内","遊び・体験","由良町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18333"
"寒川祭","1204年寒川朝玄によって建てられた寒川神社。神楽の舞獅子などが行われる古式ゆたかな祭りです。","11月3日（祝・日）","寒川神社","観る / 観る","日高川町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18334"
"第28回熊野古道絵巻行列","かつて「蟻の熊野詣」といわれた時代空間を平安時代行列により再現。当日は、平安衣装をまとった行列が高原地区の熊野古道を歩きます。","11月3日（祝・日）","中辺路町高原","観る / 世界遺産","田辺市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18335"
"野中の獅子舞","(県指定無形民俗文化財)近野神社及び継桜王子へ奉納される獅子舞で約700年の歴史があります。近露の野長瀬一族が護良親王の御軍に出陣する際のはなむけに舞われたと言…","11月3日（祝・日）","近野神社、近露王子、継桜王子","観る","田辺市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18336"
"芳養八幡神社秋祭","(県指定無形民俗文化財)流鏑馬(やぶさめ)、駆け馬など勇壮な神事が行われます。流鏑馬では三つの的を射、神興の御旅所への渡御(とぎょ)があり、そのあと実際に馬場を…","11月3日（祝・日）","芳養八幡神社","観る","田辺市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18337"
"住吉踊（長野八幡神社例祭）","(県指定無形民俗文化財)長野八幡神社の神事として行なわれます。青年(奇数人数)により奉納されます。全体として豊作を祝う意をこめた踊りといわれ、右手に扇、左手に笹…","11月3日（祝・日）","長野八幡神社","観る","田辺市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18338"
"上野の獅子舞","(県指定文化財・無形民俗文化財)富里春日神社へ奉納される獅子舞で、室町時代、八郎又衛門という人物によって伝えられたといわれます。五穀豊穣と村民の安全を祈願して舞…","11月3日（祝・日）","富里・春日神社","観る","田辺市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18339"
"皆瀬神社祭典","護摩壇山の冷気をふるわす大太鼓が打ち鳴らされ、祭はクライマックスを迎えます。","11月3日（祝・日）","龍神村龍神・皆瀬神社","観る","田辺市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18340"
"荒嶋神社祭典","体をぶつけ合う屋台みこしで祭りは最高潮を迎えます。京神楽の流れをくみ平安時代の面影を残す獅子舞も必見です。","11月3日（祝・日）","龍神村下山路・荒嶋神社","観る","田辺市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18341"
"近野まるかじり体験","田辺から本宮までを結ぶ熊野古道中辺路ルートの中程に位置する近露(ちかつゆ)は、のんびりとしたどこか懐かしい山里。あったかい人たちがイベントやマーケットを開催しま…","11月3日（祝・日）","近露・野中地区","世界遺産 / お土産・逸品","田辺市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18342"
"丹生神社祭典","宵宮に、まといと呼ばれる大提灯を連ね集まってきます。翌日は朝から神前式が始まります。","11月3日（祝・日）","龍神村上山路・丹生神社","観る","田辺市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18343"
"那智七福大黒天法要","那智山青岸渡寺本堂裏にまつられている大黒天の法要です。また境内にて餅投げがあります。","11月3日（祝・日）","那智山青岸渡寺","世界遺産","那智勝浦町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18344"
"第14回那智勝浦町熊野古道ヒルクライム","世界文化遺産「熊野古道」沿いのコースを走る走行距離30.5km、高低差960mのヒルクライムレースが開催されます。熱戦をぜひご覧ください。","11月3日（祝・日）","コース①大雲取山頂コース②妙法山阿弥陀寺","世界遺産","那智勝浦町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18345"
"太地浦くじら祭","当日は様々なイベントが催され、例年大勢の人々で賑わいます。","11月3日（祝・日）","太地漁港ふれあい広場","観る / 食べる","太地町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18346"
"A・GA・RAマルシェ","安くて新鮮な季節の野菜や、おいしいと話題の食べ物、ハンドメイド雑貨など、たくさんのお店が出店します。","毎月第1日曜日","JR海南駅周辺","食べる / お土産・逸品","海南市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18450"
"ありだ広域観光キャンペーン","湯浅御坊道路吉備・湯浅PA及び京奈和自動車かつらぎ西PAにおいて、有田地域の観光・特産品をPRするキャンペーンを開催します。","11月4日（祝・月）","9:00～11:00湯浅御坊道路吉備・湯浅PA(下り線)及び京奈和自動車かつらぎ…","お土産・逸品","有田川町・かつらぎ町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18347"
"「雑賀崎台場」講演会と見学ウォーク","トンガの鼻の幕末期の遺跡「雑賀崎台場」について専門家にお話を伺い、見学ウォークを行います。つわぶきの花咲く中を、地域の“たからもの”に会いに行きましょう。講演は…","11月9日（土）","雑賀崎地区公民館","観る / 遊び・体験","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18348"
"巣箱づくりと野鳥観察","森の野鳥の観察をした後、ヤマガラやシジュウカラの利用する巣箱を作り、森にかけましょう。","11月9日（土）","和歌山県立森林公園根来山げんきの森","遊び・体験 / 観る","岩出市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18349"
"第14回和歌山城まちなかキャンドルイルミネーション・竹燈夜","和歌山城を中心としたまちなかを、約8，000本の竹燈篭のあたたかな光でコーディネ―トします。幻想的な竹灯りに包まれて･･･しっとりゆったり過ごす秋の夜。当日、来…","11月9日（土）、10日（日）","和歌山城とその周辺","観る / 遊び・体験","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18351"
"野生ラン展","春蘭、風蘭、寒蘭、セッコク、山野草類等、約100鉢を展示。（即売も有り）","11月9日（土）、10日（日）","和歌山県植物公園緑花センター","観る / お土産・逸品","岩出市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18352"
"第52回寒らん展","寒蘭は「寒蘭や、その葉、その花、その香り」と詠われ、三拍子そろったものです。紀州、四国、九州等の温暖な地域が産地の名花を展示。（即売も有り）","11月9日（土）、10日（日）","和歌山県植物公園緑花センター","観る / お土産・逸品","岩出市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18353"
"道の駅　明恵ふるさと館　秋の収穫祭","秋の恒例イベント。杵つき餅の実演販売や鮎の炭火焼き、焼き芋、手づくりこんにゃく販売やガラガラ抽選会と盛りだくさん。","11月9日（土）、10日（日）","道の駅明恵ふるさと館","食べる","有田川町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18354"
"第４回　全肉祭","牛・豚・鶏等の一般的な畜産の”肉”だけでなく、狩猟肉であるジビエ・海産の魚肉・農産の果肉等、ありとあらゆる”肉”をテーマにした、食文化の祭典を開催します。","11月9日（土）、10日（日）、15日（金）、16日（土）、17日（日）","和歌山城（砂の丸広場）","食べる / お土産・逸品","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18350"
"１１月の寄せ植え教室","季節の花木をアレンジ。寄せ植えを作りながらアレンジのコツや管理方法を学びます。","11月10日(日)","和歌山県植物公園緑花センター","遊び・体験 / お土産・逸品","岩出市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18356"
"第5回梅の里カップ・ボルダリング大会（plum cup 2019)","今年で5回目となる梅の里カップ・ボルダリング大会は、毎年県内だけでなく県外からも大勢の出場者が優勝を狙います。今年は、ＪＭＳＣＡ(日本山岳・スポーツクライミング…","11月10日(日)","梅の里ボルダリングウォール(旧清川中学校体育館内）","","みなべ町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18357"
"吉野熊野国立公園パートナーシップイベント　秋の動・植物を観察しよう（南紀生物同好会と共催）","鳥の巣周辺を散策します。筆記用具、採集用具（植物・昆虫）、ビニール袋、水筒をご用意ください。服装は長ズボン、長袖、長靴、手袋帽子。小学生は保護者同伴で参加下さい…","11月10日（日）","鳥の巣周辺【集合場所】内之浦ひがた親水公園駐車場（9：30までに）","遊び・体験 / 遊び・体験","田辺市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18358"
"第25回ＳＳＦＴオフショアトーナメント","各部門に分かれてルアーフィッシングで重さを競います。毎年、さまざまな種類の大物魚が釣り上げられます。","11月10日(日)荒天の場合11月17日（日）に延期","すさみ町近海","遊び・体験","すさみ町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18359"
"ぼたん荘の朝市","毎月第2日曜日に開催しています。野菜、漬物、田舎寿司、手作りお菓子、もち、干しシイタケ、干物など、山の幸から海の幸まで近隣から旬のものが並びます。","11月10日（日）","南紀月の瀬温泉ぼたん荘","お土産・逸品 / 食べる","古座川町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18360"
"高津子山を桜の山に","「高津子山を桜の山に」をスローガンに、山の整備と清掃を行います。※ご協力いただけるボランティアを募っています。わずかな時間の参加でも大歓迎！午前、午後共に参加し…","11月10日（日）、12月8日（日）※小雨決行・雨天中止","（集合場所）新和歌浦元ロープーウェイ発着所","遊び・体験","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18361"
"ポポロハスマーケット","“ポポロハスマーケット”は“てづくり”と“ロハス”をテーマにしたマルシェイベントです。「てづくり」や「ロハス」にこだわった商品及び地産地消の野菜、食品等が出展さ…","11月11日（日）、12月8日（日）","ぶらくり丁商店街","観る / お土産・逸品","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18363"
"有間皇子まつり","有間皇子の慰霊祭が執り行われます。","11月11日（日）","藤白神社","観る","海南市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18362"
"開山忌","開祖（唐僧・為光上人）を偲んで午後1時より法要が行われます。","11月13日（水）","紀三井寺","観る","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18364"
"世界遺産鬪?神社創建千六百年奉納落語公演","世界遺産鬪?神社創建1600年を記念した奉納落語公演です。桂　小文枝・桂　三歩・桂　坊枝・桂　枝曾丸・桂　小きん　らが来演し、生演奏のお囃子で見どころ満載の奉納…","11月14日（木）","紀南文化会館","遊び・体験","田辺市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18365"
"紅葉祭","寛和２年(986)に、花山法皇が那智山二の滝付近の山中で「千日行」をされた時、秋の陽に映える紅葉を愛でて歌を詠み、その短冊を小枝に結んで滝に流したという故事にち…","11月14日（木）","熊野那智大社～那智の滝","世界遺産","那智勝浦町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18366"
"堅田例大祭","300年の歴史を持つ県無形文化財。稚児やつはち、笠鉾渡御、獅子舞など神事を見ることができます。","11月14日(木)、15日(金）","堅田八幡神社","観る","白浜町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18367"
"那智勝浦いせえび祭り","いせえびの直売やいせえび汁の無料配布、調理実演、いせえび料理販売や、吉本芸人のたけだバーベキューさんによる出張BBQなど、楽しいアトラクションが行われます。","11月16日（土）","勝浦漁港","観る / 食べる","那智勝浦町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18368"
"旧中筋家住宅　関西文化の日　無料公開","関西の文化をアピールするため博物館施設等を無料開放する「関西文化の日」に協賛し、無料公開します。この機会に、旧中筋家住宅へお越しください。","11月16日（土）、17（日）","旧中筋家住宅","観る","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18370"
"湊御殿関西文化の日無料公開日","関西の文化・歴史・芸術をアピールするために博物館施設等を無料開放する関西文化の日に協賛し、湊御殿を無料公開します。","11月16日（土）、17（日）","湊御殿","観る","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18371"
"第４回 緑和会盆栽展","様々な実物や紅葉した雑木類を中心に、約20鉢を展示。（即売も有り）","11月16日（土）、17（日）","和歌山県植物公園緑花センター","観る / お土産・逸品","岩出市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18372"
"第2回古民家体験イベント　in広川町","濱口梧陵に触れる、「食」「体験」「まちあるき」の三大イベントを実施します。日本で最初に販売されたソース“ミカドソース”を使った料理や、耐久社でのカフェをはじめ、…","11月16日（土）、17（日）","旧戸田家他","遊び・体験","広川町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18373"
"和歌山駅前手づくり市場","オリジナル雑貨やこだわりの手づくり品、アート作品など、毎回たくさんのハンドメイドショップが集結し、休日の和歌山駅前を楽しい空間に演出しています。出店者も常時募集…","11月16日（土）、12月21日（土）※毎月第3土曜日開催　荒天中止","ＪＲ和歌山駅前けやき大通り歩道","観る / お土産・逸品","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18369"
"世界民族祭in紀美野2019","この祭典は、和歌山県紀美野町真国(まくに)に、世界の民族が集まり、芸術、音楽、舞踊、食などを通して、異文化間、世代間の交流を図り、未来を生きる子どもたちを育むこ…","11月17日（日）","紀美野町文化センター","","紀美野町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18374"
"第6回しみずふるさとまつり","しみずと言えば、棚田とぶどう山椒。米や山椒にちなんだ企画盛り沢山。〆はやっぱり大餅投げ！","11月17日(日)","しみずスポーツパーク","遊び・体験 / 食べる","有田川町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18375"
"日高町ふれあい祭り","日高町役場敷地内で行われる地域のイベント。大道芸人のステージ、ゲーム、農林水産物販売などがあり、親子で楽しめるイベントになっています。","11月17日(日)","日高町役場敷地内","遊び・体験 / 遊び・体験","日高町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18376"
"第１1回いなみかえるのフェスティバル","印南町の新鮮な農産物・海産物・特産品の販売。屋台や楽しいイベントが盛りだくさんのフェスティバルです。","11月17日(日)","印南浜公園周辺(漁港)","遊び・体験 / 食べる","印南町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18377"
"日高川フォレスト祭","「林業」「森林」をテーマとした、参加型・体験型のイベントが開催されます。","11月17日(日)","リフレッシュエリアみやまの里","遊び・体験 / 遊び・体験","日高川町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18378"
"第35回こだま祭り","毎年本宮行政局で行われる本宮の産業祭りで、朝市や出店に加えて、ダンスや演奏などのステージイベントが盛り上がりを見せます。","11月17日（日）","本宮行政局","観る / 遊び・体験","田辺市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18379"
"第29回南紀日置川リバーサイドマラソン","毎年1，000人余りのランナーが日置川沿いを駆け抜けます。ハーフマラソン5ｋｍ、3ｋｍ他。","11月17日（日）","日置川","遊び・体験 / 観る","白浜町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18380"
"ふれあい市場（朝市）","毎月第3日曜日に地域の交流促進を目的とし、開催されている朝市です。地元産品とともに、古座のおじいちゃんおばあちゃんとのふれあいも楽しんでください。","11月17日（日）","JR古座駅前広場","観る / 食べる","串本町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18381"
"第8回新宮・那智勝浦天空ハーフマラソン大会","自動車専用道路（一般国道42号那智勝浦新宮道路）を走り、新宮市民運動競技場（やたがらすサッカー場）をゴールとするコースを走ります。ハーフマラソン（高校生以上）、…","11月17日（日）","一般国道42号那智勝浦新宮道路","","新宮市・那智勝浦町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18382"
"古座川の秋まつり","地元の特産品の販売や、美味しい冬の味覚ぼたん鍋の試食や各種イベントが催され賑わいます。","11月17日（日）","古座川町立明神小・中学校","観る","古座川町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18383"
"じゃばらの里の収穫祭","地域資源である大自然と特産柑橘「じゃばら」をテーマにした祭り。「じゃばら」など地域産品の直売やゲーム、抽選会など楽しい催しが開催されます。","11月17日（日）","おくとろ公園","観る","北山村","https://www.wakayama-kanko.or.jp/event/detail.php?id=18384"
"第8回ラブ太平洋串本エギング大会","本州最南端の串本町は、１年中イカが釣れ、エギンガーにとって天国だと言われています。そんな「イカ釣り天国串本」で大会を行います。","11月17日（日）　荒天の場合は24日に延期","串本町内の各磯（詳細は準備中）","遊び・体験","串本町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18385"
"有田温泉協会第15回「献湯祭」","今回で15回目を数える「献湯祭」、今年は11月18日(月）に行われます。","11月18日（月）","湯浅湾漁業協同組合栖原支所","温泉","湯浅町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18387"
"第13回 田辺・弁慶映画祭","田辺市で行われる本格的な映画祭。コンペティション部門は、若手映画監督の登竜門としても全国的に知られるようになっています。","11月22日(金)～24日(日)","紀南文化会館","観る / 遊び・体験","田辺市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18388"
"食祭WAKAYAMA2019","和歌山のおいしい食べ物が集合する「食祭(しょくさい)ＷＡＫＡＹＡＭＡ」。海の幸、山の幸、大地の幸に恵まれた和歌山のうまいもんが和歌山城砂の丸広場に大集合！和歌山…","11月23日（祝・土）","和歌山城（砂の丸広場）ほか","食べる / お土産・逸品","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18390"
"牛の舌餅投げ","牛の舌餅という畳1枚程ある「のし餅」は、毎年11月23日の新嘗祭に、神饌として、御供し、祭典終了後、参詣者に、他の奉納された餅とともに、投げ配られています。これ…","11月23日（祝・土）","水門吹上神社","観る","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18391"
"宇賀部神社　冬祭","祭典は15時30分から執り行われます。","11月23日（祝・土）","宇賀部神社","観る","海南市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18392"
